name;online_order;book_table;rate;votes;approx_cost(for two people);listed_in(type)
Jalsa;1;1;4.1/5;775;800;Buffet
Spice Elephant;1;0;4.1/5;787;800;Buffet
San Churro Cafe;1;0;3.8/5;918;800;Buffet
Addhuri Udupi Bhojana;0;0;3.7/5;88;300;Buffet
Grand Village;0;0;3.8/5;166;600;Buffet
Timepass Dinner;1;0;3.8/5;286;600;Buffet
Rosewood International Hotel - Bar & Restaurant;0;0;3.6/5;8;800;Buffet
Onesta;1;1;4.6/5;2556;600;Cafes
Penthouse Cafe;1;0;4.0/5;324;700;other
Smacznego;1;0;4.2/5;504;550;Cafes
Village Café;1;0;4.1/5;402;500;Cafes
Cafe Shuffle;1;1;4.2/5;150;600;Cafes
The Coffee Shack;1;1;4.2/5;164;500;Cafes
Caf-Eleven;0;0;4.0/5;424;450;Cafes
San Churro Cafe;1;0;3.8/5;918;800;Cafes
Cafe Vivacity;1;0;3.8/5;90;650;Cafes
Catch-up-ino;1;0;3.9/5;133;800;Cafes
Kirthi's Biryani;1;0;3.8/5;144;700;Cafes
T3H Cafe;0;0;3.9/5;93;300;Cafes
360 Atoms Restaurant And Cafe;1;0;3.1/5;13;400;Cafes
The Vintage Cafe;1;0;3.0/5;62;400;Cafes
Woodee Pizza;1;0;3.7/5;180;500;Cafes
Cafe Coffee Day;0;0;3.6/5;28;900;Cafes
My Tea House;1;0;3.6/5;62;600;Cafes
Hide Out Cafe;0;0;3.7/5;31;300;Cafes
CAFE NOVA;0;0;3.2/5;11;600;Cafes
Coffee Tindi;1;0;3.8/5;75;200;Cafes
Sea Green Cafe;0;0;3.3/5;4;500;Cafes
Cuppa;0;0;3.3/5;23;550;Cafes
Srinathji's Cafe;0;0;3.8/5;148;550;Cafes
Redberrys;1;0;4.0/5;219;600;Cafes
Foodiction;1;0;2.8/5;506;500;other
Sweet Truth;1;0;3.9/5;35;500;Dining
Ovenstory Pizza;1;0;3.9/5;172;750;Dining
Faasos;1;0;4.2/5;415;500;other
Behrouz Biryani;1;0;3.9/5;230;650;Dining
Fast And Fresh;1;0;2.8/5;91;400;Dining
Szechuan Dragon;1;0;4.2/5;1647;600;Dining
Empire Restaurant;1;0;4.4/5;4884;750;other
Maruthi Davangere Benne Dosa;1;0;4.0/5;17;150;Dining
Chaatimes;1;0;3.8/5;133;200;Dining
Havyaka Mess;0;0;3.9/5;28;300;Dining
McDonald's;1;0;3.9/5;286;500;Dining
Domino's Pizza;1;0;3.9/5;540;800;Dining
Onesta;1;1;4.6/5;2556;600;other
Hotboxit;0;0;3.8/5;36;400;Dining
Kitchen Garden;1;0;3.6/5;244;300;Dining
Recipe;1;0;4.0/5;804;450;Dining
Beijing Bites;1;0;3.7/5;679;850;Dining
Tasty Bytes;1;0;3.1/5;245;300;Dining
Petoo;0;0;3.7/5;21;450;Dining
Shree Cool Point;1;0;4.1/5;28;150;Dining
Corner House Ice Cream;0;0;4.3/5;345;400;Dining
Biryanis And More;1;0;4.0/5;618;750;Dining
Roving Feast;0;0;4.0/5;1047;450;Dining
FreshMenu;1;0;3.9/5;627;450;Dining
Banashankari Donne Biriyani;1;0;3.8/5;104;300;Dining
Wamama;1;1;4.2/5;354;800;other
Five Star Chicken;0;0;3.6/5;55;200;Dining
XO Belgian Waffle;1;0;3.7/5;17;400;Dining
Peppy Peppers;0;0;4.2/5;244;800;other
Goa 0 Km;1;1;3.6/5;163;800;Dining
Chinese Kitchen;1;0;3.8/5;58;150;Dining
Jeet Restaurant;0;1;4.0/5;808;850;Dining
Cake of the Day;0;0;3.7/5;78;150;Dining
Kabab Magic;1;0;4.1/5;1720;400;Dining
Namma Brahmin's Idli;1;0;3.6/5;34;100;Dining
Gustoes Beer House;0;0;4.1/5;868;700;Dining
Sugar Rush;0;0;3.8/5;39;300;Dining
Burger King;1;0;3.2/5;71;600;Dining
The Good Bowl;1;0;3.6/5;6;500;Dining
The Biryani Cafe;0;0;4.1/5;520;300;Dining
Spicy Tandoor;0;0;4.1/5;0;150;Dining
LSD Cafe;0;0;2.9/5;84;700;other
Rolls On Wheels;0;0;3.6/5;299;300;Dining
Om Sri Vinayaka Chats;0;0;3.6/5;0;500;Dining
Sri Guru Kottureshwara Davangere Benne Dosa;1;0;4.1/5;558;150;Dining
Devanna Dum Biriyani Centre;1;0;3.6/5;28;300;Dining
Kolbeh;0;0;3.7/5;22;500;Dining
Upahar Sagar;0;0;3.8/5;39;350;Dining
Kadalu Sea Food Restaurant;1;0;3.8/5;153;500;Dining
Frozen Bottle;1;0;4.2/5;146;400;Dining
Parimala Sweets;0;0;3.5/5;14;200;Dining
Vaishali Deluxe;0;0;3.8/5;42;700;Dining
Chill Out;0;0;3.8/5;0;100;Dining
The Big O Bakes;0;0;4.0/5;66;300;Dining
Meghana Foods;1;0;4.4/5;4401;600;Dining
Krishna Sagar;0;0;3.5/5;31;200;Dining
Dessert Rose;0;0;3.5/5;7;500;Dining
Chickpet Donne Biryani House;0;0;3.7/5;21;250;Dining
Me And My Cake;0;0;3.7/5;0;500;Dining
Sunsadm;0;0;3.7/5;0;400;Dining
Annapooraneshwari Mess;0;0;3.7/5;0;200;Dining
Thanco's Natural Ice Creams;0;0;3.2/5;9;300;Dining
Nandhini Deluxe;0;0;2.6/5;283;600;Dining
Vi Ra's Bar and Restaurant;0;0;3.3/5;62;800;Dining
Kaggis;0;0;3.8/5;64;250;Dining
Ayda Persian Kitchen;0;0;3.7/5;39;950;Dining
Chatar Patar;0;0;3.7/5;65;300;Dining
Polar Bear;1;0;3.8/5;71;400;Dining
Kidambi's Kitchen;0;0;3.5/5;52;300;Dining
Mane Thindi;0;0;3.7/5;130;200;Dining
Kotian Karavali Restaurant;0;0;3.5/5;10;300;Dining
Floured-Baked With Love;0;0;3.8 /5;45;400;Dining
CAFE NOVA;0;0;3.2/5;11;600;Dining
Cakes & Slices;0;0;3.5/5;13;300;Dining
Spice 9;0;0;3.4/5;8;300;Dining
Coffee Shopee;0;0;3.4/5;0;250;Dining
Naveen Kabab & Biriyani Mane;0;0;3.2/5;9;300;Dining
Katriguppe Donne Biryani;0;0;3.2/5;4;300;Dining
Hari Super Sandwich;0;0;3.2/5;0;200;Dining
Atithi Point Ande Ka Funda;0;0;3.1/5;29;150;Dining
Just Bake;0;0;3.4/5;8;400;Dining
Dharwad Line Bazaar Mishra Pedha;0;0;3.4/5;0;150;Dining
Cake Bite;0;0;3.4/5;0;300;Dining
Aarush's Food Plaza;0;0;3.4/5;0;200;Dining
Wood Stove;0;0;3.4/5;0;150;Dining
Kulfi & More;0;0;3.4/5;0;150;Dining
Kannadigas Karavali;0;0;3.4/5;0;250;Dining
K27 - The Pub;0;0;3.1/5;30;900;Dining
Bengaluru Coffee House;1;0;4.1/5;201;300;Dining
New Mangalore Lunch Home;0;0;3.3/5;7;200;Dining
Coffee Bytes;0;0;3.1/5;6;100;Dining
Parjanya Chat Zone;0;0;3.3/5;17;200;Dining
Kwality Wall's Swirl's Happiness Station;0;0;2.9/5;25;200;Dining
Soms Kitchen & Bakes;0;0;2.9/5;0;400;Dining
Banashankari Nati Style;0;0;2.9/5;0;350;Dining
Ruchi Maayaka;0;0;3.3/5;8;100;Dining
Mohitesh Hut Roll;0;0;3.3/5;0;150;Dining
Sri Basaveshwar Jolada Rotti Oota;0;0;3.4/5;0;150;Dining
Roll Magic Fast Food;0;0;3.4/5;0;200;Dining
Foodlieious Multi Cuisine;0;0;3.4/5;0;100;Dining
Thanishka Nati And Karavali Style;0;0;3.1/5;0;400;Dining
Swathi Cool Point;0;0;4.1/5;0;200;Dining
Kaumudis Juoice;0;0;3.3/5;0;150;Dining
Amma - Manae;0;0;3.1/5;0;400;Dining
Sri Sai Tiffannies;0;0;3.3/5;0;150;Dining
Hotel Andhra Speices;0;0;2.9/5;0;250;Dining
Sri Murari Family Restaurant;0;0;2.9/5;0;250;Dining
Aramane Donne Biriyani;0;0;2.9/5;0;150;Dining
Darkolates;0;0;3.3/5;0;200;Dining
Swaada Healthy Kitchen;0;0;3.3/5;0;350;Dining
Gawdaru Mane Beriyani;0;0;3.3/5;0;300;Dining
Melting Melodies;0;0;3.3/5;0;100;Dining
New Indraprasta;0;0;3.3/5;0;150;Dining
Anna Kuteera;1;0;4.0/5;771;450;Dining
Darbar;0;0;3.0/5;98;800;Dining
Vijayalakshmi;1;0;3.9/5;47;200;Dining
